Category,Name,Url,Description
☁️ Hosting & Deployment,agent-commons,https://clawskills.sh/skills/zanblayde-agent-commons,"Consult, commit, extend, and challenge reasoning chains."
☁️ Hosting & Deployment,agent-team-orchestration,https://clawskills.sh/skills/arminnaimi-agent-team-orchestration,"Orchestrate multi-agent teams with defined roles, task lifecycles, handoff protocols, and review workflows."
☁️ Hosting & Deployment,agentdo,https://clawskills.sh/skills/wrannaman-agentdo,"Post tasks for other AI agents to do, or pick up work from the AgentDo task queue (agentdo.dev)"
☁️ Hosting & Deployment,agentgate,https://clawskills.sh/skills/monteslu-agentgate,API gateway for personal data with human-in-the-loop write approval.
☁️ Hosting & Deployment,airadar,https://clawskills.sh/skills/lopushok9-airadar,"Distill the signal around AI-native tools/apps and their GitHub home bases: fast-growing, hyped, well-funded."
☁️ Hosting & Deployment,alex-session-wrap-up,https://clawskills.sh/skills/xbillwatsonx-alex-session-wrap-up,"End-of-session automation that commits unpushed work, extracts learnings, detects patterns, and persists rules."
☁️ Hosting & Deployment,amazon-product-api-skill,https://clawskills.sh/skills/phheng-amazon-product-api-skill,"This skill helps users extract structured product listings from Amazon, including titles, ASINs, prices, ratings."
☁️ Hosting & Deployment,app-store-screenshot-generation,https://clawskills.sh/skills/eftalyurtseven-app-store-screenshot-generation,Generate App Store and Google Play screenshot assets using each::sense AI.
☁️ Hosting & Deployment,arc-agent-lifecycle,https://clawskills.sh/skills/trypto1019-arc-agent-lifecycle,Manage the lifecycle of autonomous agents and their skills.
☁️ Hosting & Deployment,arc-security-audit,https://clawskills.sh/skills/trypto1019-arc-security-audit,Comprehensive security audit for an agent's full skill stack.
☁️ Hosting & Deployment,arc-skill-gitops,https://clawskills.sh/skills/trypto1019-arc-skill-gitops,"Automated deployment, rollback, and version management for agent workflows and skills."
☁️ Hosting & Deployment,arc-trust-verifier,https://clawskills.sh/skills/trypto1019-arc-trust-verifier,Verify skill provenance and build trust scores for ClawHub skills.
☁️ Hosting & Deployment,arxiv-search-collector,https://clawskills.sh/skills/xukp20-arxiv-search-collector,Model-driven arXiv retrieval workflow for building a paper set with a manual language parameter: initialize a run.
☁️ Hosting & Deployment,auto-pr-merger,https://clawskills.sh/skills/autogame-17-auto-pr-merger,This skill automates the workflow of checking out a GitHub.
☁️ Hosting & Deployment,azhua-skill-vetter,https://clawskills.sh/skills/fatfingererr-azhua-skill-vetter,Security-first skill vetting for AI agents.
☁️ Hosting & Deployment,azure-devops,https://clawskills.sh/skills/pals-software-azure-devops,"List Azure DevOps projects, repositories, and branches; create pull requests; manage work items; check build status."
☁️ Hosting & Deployment,bat-cat,https://clawskills.sh/skills/arnarsson-bat-cat,"A cat clone with syntax highlighting, line numbers, and Git integration."
☁️ Hosting & Deployment,beeminder,https://clawskills.sh/skills/ruigomeseu-beeminder,Beeminder API for goal tracking and commitment devices.
☁️ Hosting & Deployment,billy-emergency-repair,https://clawskills.sh/skills/highlander89-billy-emergency-repair,- Neill explicitly requests Billy system repair.
☁️ Hosting & Deployment,bitbucket-automation,https://clawskills.sh/skills/sohamganatra-bitbucket-automation,"Automate Bitbucket repositories, pull."
☁️ Hosting & Deployment,biz-reporter,https://clawskills.sh/skills/ariktulcha-biz-reporter,"Automated business intelligence reports pulling data from Google Analytics GA4, Google Search Console, Stripe."
☁️ Hosting & Deployment,blinko,https://clawskills.sh/skills/tolibear-blinko,Play Blinko (on-chain Plinko) headlessly on Abstract chain.
☁️ Hosting & Deployment,0g-compute,https://clawskills.sh/skills/in-liberty420-0g-compute,"Use cheap, TEE-verified AI models from the 0G Compute Network as OpenClaw providers."
☁️ Hosting & Deployment,0protocol,https://clawskills.sh/skills/0isone-0protocol,"Agents can sign plugins, rotate credentials without losing identity, and publicly attest to behavior."
☁️ Hosting & Deployment,2nd-brain,https://clawskills.sh/skills/coderaven-2nd-brain,"Personal knowledge base for capturing and retrieving information about people, places, restaurants, games, tech."
☁️ Hosting & Deployment,2slides-skills,https://clawskills.sh/skills/javainthinking-2slides-skills,AI-powered presentation generation using 2slides API.
☁️ Hosting & Deployment,3d-cog,https://clawskills.sh/skills/nitishgargiitd-3d-cog,Other tools need perfect images.
☁️ Hosting & Deployment,3d-model-generation,https://clawskills.sh/skills/eftalyurtseven-3d-model-generation,Generate 3D models using each::sense AI.
☁️ Hosting & Deployment,a,https://clawskills.sh/skills/ricketh137-a,Live stream as an AI VTuber on Lobster.fun.
☁️ Hosting & Deployment,aade-api-monitor,https://clawskills.sh/skills/satoshistackalotto-aade-api-monitor,"Real-time monitoring of Greek AADE tax authority systems — tracks deadlines, rate changes, and compliance updates."
☁️ Hosting & Deployment,abaddon,https://clawskills.sh/skills/enochosbot-bot-abaddon,Red team security mode for OpenClaw.
☁️ Hosting & Deployment,academic-research,https://clawskills.sh/skills/rogersuperbuilderalpha-academic-research,"Search academic papers and conduct literature reviews using OpenAlex API (free, no key needed)"
☁️ Hosting & Deployment,academic-research-hub,https://clawskills.sh/skills/anisafifi-academic-research-hub,"Use this skill when users need to search academic papers, download research documents, extract citations, or gather."
☁️ Hosting & Deployment,acestep-simplemv,https://clawskills.sh/skills/dumoedss-acestep-simplemv,Render music videos from audio files and lyrics using Remotion.
☁️ Hosting & Deployment,acestep-songwriting,https://clawskills.sh/skills/dumoedss-acestep-songwriting,Music songwriting guide for ACE-Step.
☁️ Hosting & Deployment,achurch,https://clawskills.sh/skills/lucasgeeksinthewood-achurch,A 24/7 digital sanctuary for AI agents and humans — attend.
☁️ Hosting & Deployment,active-maintenance,https://clawskills.sh/skills/xiaowenzhou-active-maintenance,**Automated system health and memory metabolism for OpenClaw.**.
☁️ Hosting & Deployment,adblock-dns,https://clawskills.sh/skills/picaye-adblock-dns,Network-wide ad and tracker blocking at the DNS level.
☁️ Hosting & Deployment,add-top-openrouter-models,https://clawskills.sh/skills/chunhualiao-add-top-openrouter-models,Sync OpenRouter models used by OpenClaw into this installation's config.
☁️ Hosting & Deployment,adhd-founder-planner,https://clawskills.sh/skills/jankutschera-adhd-founder-planner,"This skill should be used when the user asks to 'plan my day', 'help me plan today', 'morning planning', 'what."
☁️ Hosting & Deployment,adwhiz,https://clawskills.sh/skills/iamzifei-adwhiz,"Manage Google Ads campaigns from your AI coding tool. 44 MCP tools for auditing, creating, and optimizing Google."
☁️ Hosting & Deployment,aeo-prompt-question-finder,https://clawskills.sh/skills/psyduckler-aeo-prompt-question-finder,Find question-based Google Autocomplete suggestions for any topic.
☁️ Hosting & Deployment,aetherlang-claude-code,https://clawskills.sh/skills/contrario-aetherlang-claude-code,Use this skill to execute AetherLang V3 AI workflows from Claude Code.
☁️ Hosting & Deployment,agent-access-control,https://clawskills.sh/skills/bowen31337-agent-access-control,Tiered stranger access control for AI agents.
☁️ Hosting & Deployment,agent-audit,https://clawskills.sh/skills/sharbelayy-agent-audit,"Audit your AI agent setup for performance, cost, and ROI."
☁️ Hosting & Deployment,agent-audit-trail,https://clawskills.sh/skills/roosch269-agent-audit-trail,"Tamper-evident, hash-chained audit logging for AI agents."
☁️ Hosting & Deployment,agent-card-signing-auditor,https://clawskills.sh/skills/andyxinweiminicloud-agent-card-signing-auditor,Helps audit Agent Card signing practices in A2A protocol implementations.
☁️ Hosting & Deployment,agent-chat-ux-v1-4-0,https://clawskills.sh/skills/maverick-software-agent-chat-ux-v1-4-0,"Multi-agent UX for OpenClaw Control UI — agent selector, per-agent sessions, session history viewer with search."
☁️ Hosting & Deployment,1p-shortlink,https://clawskills.sh/skills/tuanpmt-1p-shortlink,Create short URLs and submit feature requests using 1p.io.
☁️ Hosting & Deployment,2captcha,https://clawskills.sh/skills/adinvadim-2captcha,Solve CAPTCHAs using 2Captcha service.
☁️ Hosting & Deployment,a-share-real-time-data,https://clawskills.sh/skills/wangdinglu-a-share-real-time-data,"Fetch China A-share stock market data (bars, realtime quotes, tick-by-tick transactions) via mootdx/TDX protocol."
☁️ Hosting & Deployment,abm-outbound,https://clawskills.sh/skills/dru-ca-abm-outbound,Multi-channel ABM automation that turns LinkedIn URLs.
☁️ Hosting & Deployment,accessibility-toolkit,https://clawskills.sh/skills/cgtreadw-accessibility-toolkit,Friction-reduction patterns for agents helping.
☁️ Hosting & Deployment,activecampaign,https://clawskills.sh/skills/kesslerio-activecampaign,"ActiveCampaign CRM integration for lead management, deal."
☁️ Hosting & Deployment,adcp-advertising,https://clawskills.sh/skills/edyyy62-adcp-advertising,Automate advertising campaigns with AI.
☁️ Hosting & Deployment,admet-prediction,https://clawskills.sh/skills/huifer-admet-prediction,"ADMET (Absorption, Distribution, Metabolism, Excretion, Toxicity) prediction for drug candidates."
☁️ Hosting & Deployment,Agent Browser,https://clawskills.sh/skills/thesethrose-agent-browser,A fast Rust-based headless browser automation CLI.
☁️ Hosting & Deployment,agent-browser,https://clawskills.sh/skills/murphykobe-agent-browser-2,"Automates browser interactions for web testing, form."
☁️ Hosting & Deployment,agent-daily-planner,https://clawskills.sh/skills/gpunter-agent-daily-planner,A structured daily planning and execution tracking system for AI agents.
☁️ Hosting & Deployment,agent-device,https://clawskills.sh/skills/okwasniewski-agent-device,Automates interactions for iOS simulators/devices and Android emulators/devices.
☁️ Hosting & Deployment,agent-step-sequencer,https://clawskills.sh/skills/gostlightai-agent-step-sequencer,Multi-step scheduler for in-depth agent requests.
☁️ Hosting & Deployment,agent-task-tracker,https://clawskills.sh/skills/rikouu-agent-task-tracker,Proactive task state management.
☁️ Hosting & Deployment,agent-zero,https://clawskills.sh/skills/dowingard-agent-zero-bridge,"Delegate complex coding, research, or autonomous tasks."
☁️ Hosting & Deployment,agentapi,https://clawskills.sh/skills/gizmo-dev-agentapi,Browse and search the AgentAPI directory - a curated database of APIs designed for AI agents.
☁️ Hosting & Deployment,agentapi-hub,https://clawskills.sh/skills/gizmo-dev-agentapi-hub,Browse and search the AgentAPI directory - a curated database of APIs designed for AI agents.
☁️ Hosting & Deployment,agentaudit,https://clawskills.sh/skills/starbuck100-agentaudit,Automatic security gate that checks packages against a vulnerability database before installation.
☁️ Hosting & Deployment,agentaudit-skill,https://clawskills.sh/skills/starbuck100-agentaudit-skill,Automatic security gate that checks packages against a vulnerability database before installation.
☁️ Hosting & Deployment,agentmail-integration,https://clawskills.sh/skills/synesthesia-wav-agentmail-integration,Integrate AgentMail API for AI agent.
☁️ Hosting & Deployment,agresource,https://clawskills.sh/skills/brianppetty-agresource,"Use this skill to scrape, summarize, and analyze AgResource grain marketing newsletters."
☁️ Hosting & Deployment,ai-hunter-pro,https://clawskills.sh/skills/traprapitalianazional-dev-ai-hunter-pro,A high-performance automation agent that turns global trends into viral social media posts for X (Twitter)
☁️ Hosting & Deployment,ai-meeting-scheduling,https://clawskills.sh/skills/dheerg-ai-meeting-scheduling,Booking links fail for groups.
☁️ Hosting & Deployment,airtable-automation,https://clawskills.sh/skills/sohamganatra-airtable-automation,Automate Airtable tasks via Rube MCP (Composio)
☁️ Hosting & Deployment,airtable-participants,https://clawskills.sh/skills/austinmao-airtable-participants,Read and query retreat participant data from the Ceremonia Airtable base.
☁️ Hosting & Deployment,ak-rss-24h-brief,https://clawskills.sh/skills/seandong-ak-rss-24h-brief,"Read RSS/Atom feeds from an OPML list, fetch articles from the last N hours, and generate a Chinese categorized."
☁️ Hosting & Deployment,0xwork,https://clawskills.sh/skills/jkillr-0xwork,"Find and complete paid tasks on the 0xWork decentralized marketplace (Base chain, USDC escrow)"
☁️ Hosting & Deployment,37soul-skill,https://clawskills.sh/skills/xnjiang-37soul-skill,Connect your AI agent to 37Soul virtual Host characters and enable.
☁️ Hosting & Deployment,acestep,https://clawskills.sh/skills/dumoedss-acestep,"Use ACE-Step API to generate music, edit songs, and remix music."
☁️ Hosting & Deployment,actionbook,https://clawskills.sh/skills/adcentury-actionbook,"Activate when the user needs to interact with any website — browser automation, web scraping, screenshots, form."
☁️ Hosting & Deployment,aegis-shield,https://clawskills.sh/skills/deegerwalker-aegis-shield,Prompt-injection and data-exfiltration screening for untrusted text.
☁️ Hosting & Deployment,aeo-analytics-free,https://clawskills.sh/skills/psyduckler-aeo-analytics-free,"Track AI visibility — measure whether a brand is mentioned and cited by AI assistants (Gemini, ChatGPT, Perplexity)"
☁️ Hosting & Deployment,aeo-content-free,https://clawskills.sh/skills/psyduckler-aeo-content-free,"Create or refresh AEO-optimized content that gets cited by AI assistants (Gemini, ChatGPT, Perplexity)"
☁️ Hosting & Deployment,aeo-prompt-frequency-analyzer,https://clawskills.sh/skills/psyduckler-aeo-prompt-frequency-analyzer,"Analyze what search queries Gemini uses when answering a prompt, by running it multiple times with Google Search."
☁️ Hosting & Deployment,aeo-prompt-research-free,https://clawskills.sh/skills/psyduckler-aeo-prompt-research-free,Discover which AI prompts and topics matter for a brand's Answer Engine Optimization (AEO) using only free tools.
☁️ Hosting & Deployment,agent-analytics,https://clawskills.sh/skills/dannyshmueli-agent-analytics,Simple website analytics your AI agent controls end-to-end.
☁️ Hosting & Deployment,agent-chat,https://clawskills.sh/skills/awlevin-agent-chat,Temporary real-time chat rooms for AI agents.
☁️ Hosting & Deployment,agent-dashboard,https://clawskills.sh/skills/tahseen137-agent-dashboard,Real-time agent dashboard for OpenClaw.
☁️ Hosting & Deployment,agent-dispatch,https://clawskills.sh/skills/userfrm-agent-dispatch,Lightweight agent registry and JIT router.
☁️ Hosting & Deployment,agent-hq,https://clawskills.sh/skills/thibautrey-agent-hq,Deploy the Agent HQ mission-control stack (Express + React + Telegram notifier / Jarvis summary) so other Clawdbot.
☁️ Hosting & Deployment,agent-passport,https://clawskills.sh/skills/markneville-agent-passport,"OAuth for the agentic era — consent-gating for ALL sensitive agent actions including purchases, emails, file."
☁️ Hosting & Deployment,agent-rate-limiter,https://clawskills.sh/skills/mxmsabundance-agent-rate-limiter,You know the drill.
☁️ Hosting & Deployment,agent-self-assessment,https://clawskills.sh/skills/roosch269-agent-self-assessment,Security self-assessment tool for AI agents.
☁️ Hosting & Deployment,agent-self-reflection,https://clawskills.sh/skills/brennerspear-agent-self-reflection,Periodic self-reflection on recent sessions.
☁️ Hosting & Deployment,agent-skills-audit,https://clawskills.sh/skills/swader-agent-skills-audit,"Run a two-pass, multidisciplinary code audit led by a tie-breaker lead, combining security, performance, UX, DX."
☁️ Hosting & Deployment,agent-spawner,https://clawskills.sh/skills/austineral-agent-spawner,Spawn a new OpenClaw agent through conversation.
☁️ Hosting & Deployment,agent-swarm,https://clawskills.sh/skills/runeweaverstudios-agent-swarm,IMPORTANT: OpenRouter is required.
☁️ Hosting & Deployment,agent-takeover,https://clawskills.sh/skills/tracsystems-agent-takeover,"How to perform a live agent takeover of the Clawfinger voice gateway — dial, inject greetings, handle turns."
☁️ Hosting & Deployment,agent-topology-visualizer,https://clawskills.sh/skills/gavinnn-m-agent-topology-visualizer,Generate interactive SVG architecture diagrams for AI agent systems.
☁️ Hosting & Deployment,agentdomainservice,https://clawskills.sh/skills/gregm711-agentdomainservice,The world's #1 AI-friendly domain registrar.
☁️ Hosting & Deployment,agentic-browser-0-1-2,https://clawskills.sh/skills/xyny89-agentic-browser-0-1-2,Browser automation for AI agents via inference.sh.
☁️ Hosting & Deployment,agentic-security-audit,https://clawskills.sh/skills/kingrubic-agentic-security-audit,"Audit codebases, infrastructure, AND agentic AI systems for security issues."
☁️ Hosting & Deployment,agentpay,https://clawskills.sh/skills/kar69-96-agentpay,Buy things from real websites on behalf of your human.
☁️ Hosting & Deployment,0x0-messenger,https://clawskills.sh/skills/eijiac24-0x0-messenger,Send and receive P2P messages using disposable numbers and PINs.
☁️ Hosting & Deployment,12306,https://clawskills.sh/skills/kirorab-12306,"Query China Railway 12306 for train schedules, remaining tickets, and station info."
☁️ Hosting & Deployment,1sec-security,https://clawskills.sh/skills/cutmob-1sec-security,"Install, configure, and manage 1-SEC — an open-source, all-in-one cybersecurity platform (16 modules, single binary)"
☁️ Hosting & Deployment,aave-liquidation-monitor,https://clawskills.sh/skills/jgramajo4-aave-liquidation-monitor,Proactive monitoring of Aave V3 borrow positions with liquidation alerts.
☁️ Hosting & Deployment,abstract-searcher,https://clawskills.sh/skills/easonc13-abstract-searcher,"Add abstracts to .bib file entries by searching academic databases (arXiv, Semantic Scholar, CrossRef) with browser."
☁️ Hosting & Deployment,accounting-workflows,https://clawskills.sh/skills/satoshistackalotto-accounting-workflows,File-based workflow coordinator for Greek accounting.
☁️ Hosting & Deployment,adguard,https://clawskills.sh/skills/rowbotik-adguard,Control AdGuard Home DNS filtering via HTTP API.
☁️ Hosting & Deployment,aegis-audit,https://clawskills.sh/skills/sanguineseal-aegis-audit,Deep behavioral security audit for AI agent skills and MCP tools.
☁️ Hosting & Deployment,aetherlang-chef,https://clawskills.sh/skills/contrario-aetherlang-chef,> Michelin-grade recipe consulting with 17 mandatory sections.
☁️ Hosting & Deployment,aetherlang-karpathy-skill,https://clawskills.sh/skills/contrario-aetherlang-karpathy-skill,"Implement 10 advanced AI agent node types for any DSL/runtime system — plan compiler, code interpreter, critique."
☁️ Hosting & Deployment,agent-autonomy-primitives,https://clawskills.sh/skills/g9pedro-agent-autonomy-primitives,"Build long-running autonomous agent loops using ClawVault primitives (tasks, projects, memory types, templates."
☁️ Hosting & Deployment,agent-directory,https://clawskills.sh/skills/aerialcombat-agent-directory,The directory for AI agent services.
☁️ Hosting & Deployment,agent-evaluation,https://clawskills.sh/skills/rustyorb-agent-evaluation,"Testing and benchmarking LLM agents including behavioral testing, capability assessment, reliability metrics."
☁️ Hosting & Deployment,agent-framework-azure-ai-py,https://clawskills.sh/skills/thegovind-agent-framework-azure-ai-py,Build Azure AI Foundry agents.
☁️ Hosting & Deployment,agent-metrics-osiris,https://clawskills.sh/skills/nantes-agent-metrics-osiris,"Observability and metrics for AI agents - track calls, errors, latency."
☁️ Hosting & Deployment,agent-self-governance,https://clawskills.sh/skills/bowen31337-agent-self-governance,"Self-governance protocol for autonomous agents: WAL (Write-Ahead Log), VBR (Verify Before Reporting), ADL."
☁️ Hosting & Deployment,agent-watcher,https://clawskills.sh/skills/nantes-agent-watcher,"A skill for monitoring Moltbook feed, detecting new agents, and tracking interesting posts."
